"inc_code","category","subcategory"
"65014","other miscellaneous","other"
"65015","other miscellaneous","other"
"65016","other miscellaneous","other"
"65020","other miscellaneous","other"
"65030","other miscellaneous","other"
"65040","other miscellaneous","other"
"65050","other miscellaneous","other"
"65055","other miscellaneous","liquor law violation"
"65056","other miscellaneous","liquor law violation"
"65057","other miscellaneous","liquor law violation"
"65060","other miscellaneous","liquor law violation"
"65070","other miscellaneous","other"
"65080","other miscellaneous","other"
"66010","gambling","gambling"
"66020","gambling","gambling"
"66030","gambling","gambling"
"66040","gambling","gambling"
"66050","gambling","gambling"
"66060","traffic collision","traffic collision - hit & run"
"68000","fire report","fire report"
"68020","miscellaneous investigation","miscellaneous investigation"
"68021","miscellaneous investigation","other"
"68030","courtesy report","courtesy report"
"68050","traffic collision","traffic collision"
"68051","other offenses","other offenses"
"68052","other offenses","other offenses"
"68053","other offenses","other offenses"
"68054","other offenses","other offenses"
"68055","other offenses","other offenses"
"68056","other offenses","other offenses"
"68057","other offenses","other offenses"
"68058","other offenses","other offenses"
"68059","other offenses","other offenses"
