"inc_code","category","subcategory"
"06364","larceny theft","larceny theft - shoplifting"
"06365","larceny theft","larceny theft - other"
"06370","larceny theft","larceny theft - other"
"06371","larceny theft","larceny theft - other"
"06372","larceny theft","larceny theft - other"
"06373","larceny theft","larceny theft - other"
"06374","larceny theft","larceny theft - other"
"06375","larceny theft","larceny theft - other"
"06376","larceny theft","larceny theft - other"
"06381","larceny theft","larceny theft - other"
"06383","larceny theft","larceny theft - other"
"06385","larceny theft","larceny theft - other"
"06386","larceny theft","larceny theft - other"
"06391","larceny theft","larceny theft - other"
"06394","larceny theft","larceny theft - other"
"06395","larceny theft","larceny theft - other"
"06396","larceny theft","larceny theft - other"
"06397","larceny theft","larceny theft - other"
"06398","larceny theft","larceny theft - other"
"06400","larceny theft","larceny theft - other"
"06401","larceny theft","larceny theft - other"
"07020","motor vehicle theft","motor vehicle theft"
"07021","motor vehicle theft","motor vehicle theft"
"07022","motor vehicle theft","motor vehicle theft"
"07023","motor vehicle theft","motor vehicle theft"
"07024","motor vehicle theft","motor vehicle theft"
"07025","motor vehicle theft","motor vehicle theft"
"07026","motor vehicle theft","motor vehicle theft"
"07027","motor vehicle theft?","motor vehicle theft"
"07030","larceny theft","larceny theft - other"
"07041","recovered vehicle","recovered vehicle"
"07042","recovered vehicle","recovered vehicle"
"07043","recovered vehicle","recovered vehicle"
"07044","recovered vehicle","recovered vehicle"
"07045","recovered vehicle","recovered vehicle"
"07046","recovered vehicle","recovered vehicle"
"07051","motor vehicle theft","motor vehicle theft (attempted)"
"07052","embezzlement","embezzlement"
"07053","vehicle impounded","vehicle impounded"
"07054","vehicle misplaced","vehicle misplaced"
"07055","motor vehicle theft","motor vehicle theft"
"07056","embezzlement","embezzlement"
"07100","vandalism","vandalism"
"07200","forgery and counterfeiting","forgery and counterfeiting"
"07201","forgery and counterfeiting","forgery and counterfeiting"
"07202","other miscellaneous","other"
"07203","other miscellaneous","other"
"07204","other miscellaneous","other"
"07205","other miscellaneous","other"
"07206","other miscellaneous","other"
"09010","other miscellaneous","other"
"09015","forgery and counterfeiting","forgery and counterfeiting"
"09016","forgery and counterfeiting","forgery and counterfeiting"
"09020","forgery and counterfeiting","forgery and counterfeiting"
"09021","other miscellaneous","other"
"09022","fraud","fraud"
"09023","fraud","fraud"
"09024","fraud","fraud"
"09025","fraud","fraud"
"09026","fraud","fraud"
"09027","fraud","fraud"
"09028","fraud","fraud"
"09029","fraud","fraud"
"09030","fraud","fraud"
"09031","stolen property","stolen property"
"09032","fraud","fraud"
"09033","fraud","fraud"
"09034","fraud","fraud"
"09035","fraud","bad checks"
"09040","fraud","fraud"
"09050","fraud","fraud"
"09060","fraud","fraud"
"09110","forgery and counterfeiting","forgery and counterfeiting"
"09120","forgery and counterfeiting","forgery and counterfeiting"
"09125","forgery and counterfeiting","forgery and counterfeiting"
"09130","forgery and counterfeiting","forgery and counterfeiting"
"09140","forgery and counterfeiting","forgery and counterfeiting"
"09150","forgery and counterfeiting","forgery and counterfeiting"
"09161","fraud","fraud"
"09162","fraud","fraud"
"09163","fraud","fraud"
"09164","fraud","fraud"
"09165","fraud","fraud"
"09166","fraud","fraud"
"09167","fraud","fraud"
"09168","fraud","fraud"
"09169","fraud","fraud"
"09171",,
"09172","fraud","fraud"
"09173","fraud","fraud"
"09174","forgery and counterfeiting","forgery and counterfeiting"
"09175","forgery and counterfeiting","forgery and counterfeiting"
"09176","fraud","fraud"
